squareFeet,bathrooms,bedrooms,full_url,url,price,price_noformat,saleDate,address,full_address,image,returned_address,latitude,longitude,accuracy
5400,4,8,http://auctions.buildingdetroit.org/Listing/Details/559386/1704-Infantry,/Listing/Details/559386/1704-Infantry,"$1,200 ",1200,7/10/2014,1704 Infantry,"1704 Infantry, Detroit, MI",Content/listingImages/20140703/1cc5dc4d-103c-463e-874a-ad14885837af_thumbcrop.jpg,"1704 Infantry Street, Detroit, MI 48209, USA",42.313506,-83.109446,9
4200,3.2,6,http://auctions.buildingdetroit.org/Listing/Details/392073/2224-W-Boston-Blvd,/Listing/Details/392073/2224-W-Boston-Blvd,"$70,300 ",70300,5/27/2014,2224 W. Boston Blvd,"2224 W. Boston Blvd, Detroit, MI",Content/listingImages/20140511/0d9d521a-89ce-416b-883d-761af6683b92_thumbcrop.jpg,"2224 West Boston Boulevard, Detroit, MI 48206, USA",42.380018,-83.106702,9
4200,3.1,4,http://auctions.buildingdetroit.org/Listing/Details/623143/1940-Chicago,/Listing/Details/623143/1940-Chicago,"$30,200 ",30200,8/3/2014,1940 Chicago,"1940 Chicago, Detroit, MI",Content/listingImages/20140725/1ad3dc01-a394-4b9d-af9a-65e003f6a032_thumbcrop.jpg,"1940 Chicago Boulevard, Detroit, MI 48206, USA",42.379993,-83.10279,9
4100,2,6,http://auctions.buildingdetroit.org/Listing/Details/658635/2448-Blaine,/Listing/Details/658635/2448-Blaine,"$1,000 ",1000,8/14/2014,2448 Blaine,"2448 Blaine, Detroit, MI",Content/listingImages/20140802/80a5145a-5bab-4afd-8925-cf118d6a957c_thumbcrop.jpg,"2448 Blaine Street, Detroit, MI 48206, USA",42.370778,-83.104253,9
3800,2.2,4,http://auctions.buildingdetroit.org/Listing/Details/578363/2525-W-Boston,/Listing/Details/578363/2525-W-Boston,"$36,500 ",36500,8/2/2014,2525 W. Boston,"2525 W. Boston, Detroit, MI",Content/listingImages/20140710/659917f9-dc63-4638-b33f-694bfe606505_thumbcrop.jpg,"2525 West Boston Boulevard, Detroit, MI 48206, USA",42.377691,-83.110555,9
3800,2.2,6,http://auctions.buildingdetroit.org/Listing/Details/395214/2081-Longfellow,/Listing/Details/395214/2081-Longfellow,"$53,100 ",53100,6/5/2014,2081 Longfellow,"2081 Longfellow, Detroit, MI",Content/listingImages/20140511/8465b21b-6da3-4b45-b306-14c5ac30eb33_thumbcrop.jpg,"2081 Longfellow Street, Detroit, MI 48206, USA",42.377576,-83.104109,9
3800,2.1,6,http://auctions.buildingdetroit.org/Listing/Details/403430/1737-W-Chicago-Blvd,/Listing/Details/403430/1737-W-Chicago-Blvd,"$34,400 ",34400,5/29/2014,1737 W. Chicago Blvd,"1737 W. Chicago Blvd, Detroit, MI",Content/listingImages/20140523/21f10199-ae7c-4a2a-ae57-23abb1f3c109_thumbcrop.jpg,"1737 West Chicago Boulevard, Detroit, MI 48206, USA",42.374564,-83.116341,8
3500,1.1,3,http://auctions.buildingdetroit.org/Listing/Details/728689/681-Lakewood,/Listing/Details/728689/681-Lakewood,"$5,000 ",5000,9/12/2014,681 Lakewood,"681 Lakewood, Detroit, MI",Content/listingImages/20140822/58b03dd4-986c-4cb2-a6a1-d20bd092f78e_thumbcrop.jpg,"681 Lakewood Street, Detroit, MI 48215, USA",42.368911,-82.943812,9
3400,2,5,http://auctions.buildingdetroit.org/Listing/Details/771010/1665-Chicago,/Listing/Details/771010/1665-Chicago,"$9,600 ",9600,9/22/2014,1665 Chicago,"1665 Chicago, Detroit, MI",Content/listingImages/20140916/36e61086-69dd-4a0d-877d-800f765173aa_thumbcrop.jpg,"1665 Chicago Boulevard, Detroit, MI 48206, USA",42.38022,-83.099872,9
3300,5,6,http://auctions.buildingdetroit.org/Listing/Details/770562/1635-Chicago,/Listing/Details/770562/1635-Chicago,"$26,200 ",26200,9/21/2014,1635 Chicago,"1635 Chicago, Detroit, MI",Content/listingImages/20140828/828e9b83-a39b-44c0-bdfd-02a77b37e38a_thumbcrop.jpg,"1635 Chicago Boulevard, Detroit, MI 48206, USA",42.3804,-83.099373,9
3300,4,6,http://auctions.buildingdetroit.org/Listing/Details/411280/2470-Longfellow,/Listing/Details/411280/2470-Longfellow,"$37,200 ",37200,6/7/2014,2470 Longfellow,"2470 Longfellow, Detroit, MI",Content/listingImages/20140512/e27f369f-3b99-4919-91e4-e9843960f7c3_thumbcrop.jpg,"2470 Longfellow Street, Detroit, MI 48206, USA",42.376482,-83.108694,9
3300,3,6,http://auctions.buildingdetroit.org/Listing/Details/661407/2258-W-Euclid,/Listing/Details/661407/2258-W-Euclid,"$1,200 ",1200,8/15/2014,2258 W. Euclid,"2258 W. Euclid, Detroit, MI",Content/listingImages/20140802/4e353aa0-d208-449f-93d1-7f76b20a041d_thumbcrop.jpg,"2258 Euclid Avenue, Detroit, MI 48206, USA",42.369195,-83.100258,9
3300,2,6,http://auctions.buildingdetroit.org/Listing/Details/659738/2507-W-Philadelphia,/Listing/Details/659738/2507-W-Philadelphia,"$1,200 ",1200,8/14/2014,2507 W. Philadelphia,"2507 W. Philadelphia, Detroit, MI",Content/listingImages/20140802/5ea49704-7e74-4181-84b0-5fb33b8d5dac_thumbcrop.jpg,"2507 West Philadelphia Street, Detroit, MI 48206, USA",42.3683,-83.103828,9
3200,3.1,5,http://auctions.buildingdetroit.org/Listing/Details/580789/1925-Longfellow,/Listing/Details/580789/1925-Longfellow,"$52,400 ",52400,7/31/2014,1925 Longfellow,"1925 Longfellow, Detroit, MI",Content/listingImages/20140710/3fd88028-2f23-43b9-9347-bb979e984b45_thumbcrop.jpg,"1925 Longfellow Street, Detroit, MI 48206, USA",42.378526,-83.101561,9
3200,2.1,4,http://auctions.buildingdetroit.org/Listing/Details/701180/17189-Wisconsin,/Listing/Details/701180/17189-Wisconsin,"$6,100 ",6100,8/23/2014,17189 Wisconsin,"17189 Wisconsin, Detroit, MI",Content/listingImages/20140814/22115f5c-79c6-460b-8bcc-ed26a603e29a_thumbcrop.jpg,"17189 Wisconsin Street, Detroit, MI 48221, USA",42.418302,-83.157278,9
3200,2,5,http://auctions.buildingdetroit.org/Listing/Details/906242/18115-Cherrylawn,/Listing/Details/906242/18115-Cherrylawn,"$1,500 ",1500,11/9/2014,18115 Cherrylawn,"18115 Cherrylawn, Detroit, MI",Content/listingImages/20141015/0e87b266-0bb2-40df-af85-7ccf1dc6a8a7_thumbcrop.jpg,"18115 Cherrylawn Street, Detroit, MI 48221, USA",42.424082,-83.155401,9
3100,3,6,http://auctions.buildingdetroit.org/Listing/Details/570247/1405-Chicago,/Listing/Details/570247/1405-Chicago,"$45,100 ",45100,7/30/2014,1405 Chicago,"1405 Chicago, Detroit, MI",Content/listingImages/20140710/12ac5e86-60ac-437b-bf2e-1868bb7bc327_thumbcrop.jpg,"1405 Chicago Boulevard, Detroit, MI 48206, USA",42.381641,-83.095919,9
3100,2.1,6,http://auctions.buildingdetroit.org/Listing/Details/676869/1903-Calvert,/Listing/Details/676869/1903-Calvert,"$1,000 ",1000,8/18/2014,1903 Calvert,"1903 Calvert, Detroit, MI",Content/listingImages/20140814/f1ea9a7a-1a93-44d3-859b-cfd3a82cfa25_thumbcrop.jpg,"1903 Calvert Avenue, Detroit, MI 48206, USA",42.382603,-83.10388,9
3100,2.1,4,http://auctions.buildingdetroit.org/Listing/Details/626126/1725-W-Boston,/Listing/Details/626126/1725-W-Boston,"$73,100 ",73100,8/4/2014,1725 W. Boston,"1725 W. Boston, Detroit, MI",Content/listingImages/20140725/da3d0d69-361a-478a-8032-637f6b2f10c0_thumbcrop.jpg,"1725 West Boston Boulevard, Detroit, MI 48206, USA",42.380987,-83.101648,9
