address,MPSUBSEC01,ZIPCODE,NGBR_COUNT,NGBR_AVG,ZIP_COUNT,ZIP_AVG,CITY_AVG
115 Chicago Blvd,Middle Woodward,48202,1,97900,2,55600,8973.13915857605
1181 Atkinson,Durfee,48202,39,18038.46154,2,55600,8973.13915857605
18070 Strasburg,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
15800 Bringard,Burbank,48205,4,3675,15,3626.666667,8973.13915857605
19586 Westphalia,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
20102 Regent Drive,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
11774 Engleside,Conner,48205,1,3200,15,3626.666667,8973.13915857605
19219 Alcoy,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
16477 Collingham,Burbank,48205,4,3675,15,3626.666667,8973.13915857605
13640 Collingham,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
16214 Manning,Burbank,48205,4,3675,15,3626.666667,8973.13915857605
14901 East State Fair,Burbank,48205,4,3675,15,3626.666667,8973.13915857605
20283 Pelkey,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
19300 Fairport,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
20050 Goulburn,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
19621 Goulburn,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
20058 Joann,Mt. Olivet,48205,13,3846.153846,15,3626.666667,8973.13915857605
2224 W. Boston Blvd,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1940 Chicago,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2448 Blaine,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
2525 W. Boston,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2081 Longfellow,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1737 W. Chicago Blvd,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1665 Chicago,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1635 Chicago,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2470 Longfellow,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2258 W. Euclid,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
2507 W. Philadelphia,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
1925 Longfellow,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1405 Chicago,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1903 Calvert,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1725 W. Boston,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1915 Calvert,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1915 Calvert,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1615 Chicago,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1630 Edison,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2236 Euclid,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
2236 Euclid,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
1756 W. Boston Blvd,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1715 Atkinson,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2283 Clairmount,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
2475 Calvert,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2293 Pingree,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
1710 Hazelwood,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
2284 W. Philadelphia,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
2264 Longfellow,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1920 Atkinson,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2230 Atkinson,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1493 W. Euclid,Rosa Parks,48206,10,1450,43,16258.13953,8973.13915857605
1613 Edison,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2000 Atkinson,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2974 Collingwood,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1508 Atkinson,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2480 Atkinson,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2228 Collingwood,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
3275 Collingwood,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2745 Collingwood,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2460 Atkinson,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
2744 Burlingame,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
1950 Collingwood,Durfee,48206,39,18038.46154,43,16258.13953,8973.13915857605
571 East Grand Blvd.,Butzel,48207,1,62600,1,62600,8973.13915857605
4722 Avery,Jeffries,48208,1,87100,1,87100,8973.13915857605
1704 Infantry,Vernor / Junction,48209,4,10600,6,7400,8973.13915857605
7087 W. Lafayette,Vernor / Junction,48209,4,10600,6,7400,8973.13915857605
5842 Amherst,Vernor / Junction,48209,4,10600,6,7400,8973.13915857605
1205 Hubbard,Vernor / Junction,48209,4,10600,6,7400,8973.13915857605
7808 Senator,Springwells,48209,2,1000,6,7400,8973.13915857605
7248 Logan,Springwells,48209,2,1000,6,7400,8973.13915857605
4376 52nd Street,Chadsey,48210,5,1220,7,1157.142857,8973.13915857605
4447 28th Street,Condon,48210,2,1000,7,1157.142857,8973.13915857605
3837 28th Street,Condon,48210,2,1000,7,1157.142857,8973.13915857605
6841 Linzee,Chadsey,48210,5,1220,7,1157.142857,8973.13915857605
4836 Chopin,Chadsey,48210,5,1220,7,1157.142857,8973.13915857605
7371 Edward,Chadsey,48210,5,1220,7,1157.142857,8973.13915857605
7138 Parkwood,Chadsey,48210,5,1220,7,1157.142857,8973.13915857605
5096 Burns,Kettering,48213,2,1550,13,1207.692308,8973.13915857605
5261 Lakewood,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
5312 Newport,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
5782 Lakewood,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
13122-28 Frankfort,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
5573 Lenox,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
5059 Newport,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
5058 Chalmers,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
5746 Burns,Kettering,48213,2,1550,13,1207.692308,8973.13915857605
5900 Drexel,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
5574 Lakeview,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
5805 Lakewood,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
5930 Drexel,Chandler Park,48213,13,1123.076923,13,1207.692308,8973.13915857605
1089 Beatrice,Boynton,48217,11,1000,11,1000,8973.13915857605
3233 Ethel,Boynton,48217,11,1000,11,1000,8973.13915857605
3386 Annabelle,Boynton,48217,11,1000,11,1000,8973.13915857605
3386 Annabelle,Boynton,48217,11,1000,11,1000,8973.13915857605
12825 Downing,Boynton,48217,11,1000,11,1000,8973.13915857605
1064 Bassett,Boynton,48217,11,1000,11,1000,8973.13915857605
2697 Ethel,Boynton,48217,11,1000,11,1000,8973.13915857605
2674 Edsel,Boynton,48217,11,1000,11,1000,8973.13915857605
2250 Edsel,Boynton,48217,11,1000,11,1000,8973.13915857605
2725 S Deacon,Boynton,48217,11,1000,11,1000,8973.13915857605
2647 S Deacon,Boynton,48217,11,1000,11,1000,8973.13915857605
681 Lakewood,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
394  Piper,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
836 Navahoe,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
295 Newport,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
188 Lenox,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
845 Lakewood,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
326 Newport,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
495 Lakewood,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
434 Lakewood,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
233 Marlborough,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
680 Algonquin,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
317 Eastlawn,East Riverside,48215,12,7783.333333,12,7783.333333,8973.13915857605
16591 Bentler,Rosedale,48219,8,4337.5,22,2600,8973.13915857605
17148 Evergreen,Evergreen,48219,6,1300,22,2600,8973.13915857605
16585 Burt,Rosedale,48219,8,4337.5,22,2600,8973.13915857605
18902 Riverview,Redford,48219,8,1837.5,22,2600,8973.13915857605
18411 Shiawassee,Redford,48219,8,1837.5,22,2600,8973.13915857605
18592 Dale,Redford,48219,8,1837.5,22,2600,8973.13915857605
16535 Blackstone,Rosedale,48219,8,4337.5,22,2600,8973.13915857605
19329 Ashton,Evergreen,48219,6,1300,22,2600,8973.13915857605
18304  Grayfield,Redford,48219,8,1837.5,22,2600,8973.13915857605
16737 Trinity,Rosedale,48219,8,4337.5,22,2600,8973.13915857605
16603 Blackstone,Rosedale,48219,8,4337.5,22,2600,8973.13915857605
16739 Greydale,Rosedale,48219,8,4337.5,22,2600,8973.13915857605
16544 Burt,Rosedale,48219,8,4337.5,22,2600,8973.13915857605
16891 Woodbine,Redford,48219,8,1837.5,22,2600,8973.13915857605
18520 Vaughan,Evergreen,48219,6,1300,22,2600,8973.13915857605
18300 Stout,Evergreen,48219,6,1300,22,2600,8973.13915857605
18960 Riverview,Redford,48219,8,1837.5,22,2600,8973.13915857605
16747 Lahser,Redford,48219,8,1837.5,22,2600,8973.13915857605
19000 Huntington,Evergreen,48219,6,1300,22,2600,8973.13915857605
18648 Pembroke,Evergreen,48219,6,1300,22,2600,8973.13915857605
16124 Westbrook,Rosedale,48219,8,4337.5,22,2600,8973.13915857605
20499 Grandview,Redford,48219,8,1837.5,22,2600,8973.13915857605
17189 Wisconsin,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
18115 Cherrylawn,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
17575 Stoepel,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
17134 Pennington,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
17527 Stoepel,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
17184 Warrington,Palmer Park,48221,1,9900,40,11582.5,8973.13915857605
17185 San Juan,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
17403 Greenlawn,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
17190 Santa Barbara,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
7042 Thatcher,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
16530 Ohio,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
18005 Wisconsin,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
16531 Cherrylawn,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
16177 Roselawn,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
16161 Roselawn,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
17335 San Juan,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
16169 Northlawn,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
18631 Roselawn,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
17334 Santa Rosa,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
16247 Wisconsin,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
18403 Santa Rosa,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
18114 Ohio,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
16239 Roselawn,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
16245 Ohio,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
17127  Santa Barbara,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
16165 Ohio,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
18487 Monica,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
18308 Prairie,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
6535 London,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
16224 Roselawn,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
18509 Prairie,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
18211 Prairie,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
18423 Monica,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
17341 Washburn,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
16193 Northlawn,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
16531 Ohio,Harmony Village,48221,15,9746.666667,40,11582.5,8973.13915857605
17595 Mendota,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
18220 Ohio,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
18475 Manor,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
18461 Mendota,Bagley,48221,27,11507.40741,40,11582.5,8973.13915857605
5903 Kensington,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5917-19 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
12791 E. Outer Drive,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
6006-08 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
3951 Three Mile,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4177 Audubon,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5958 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4405 Somerset,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5109 Kensington,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4884 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
3501 Devonshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5500 Kensington,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
3501 Devonshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5109 Kensington,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
9971 Balfour,Denby,48224,2,11700,63,12347.61905,8973.13915857605
4819 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5216 Marlborough,Chandler Park,48224,13,1123.076923,63,12347.61905,8973.13915857605
5205 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4335 Bishop,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5266 Grayton,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
3611 Three Mile,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
3964 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4184 Bishop,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5261 Grayton,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4811 Harvard,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5983 Kensington,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5239 Three Mile Drive,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5737 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
3555 Grayton,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5730 Audubon,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4690 Devonshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5301 Harvard,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5301 Harvard,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5565 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
12293 E. Outer Drive,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5760 Yorkshire,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
6166 Bishop,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
6015 Cadieux,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
16949 Chandler Park,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5811 Grayton,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4892 Harvard,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5961 Cadieux,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5511 Bishop,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4356 Harvard,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
17041 Chandler Park,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5226 Harvard,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5061 Cadieux,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
16905 Chandler Park,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4145 Cadieux,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5799 Bishop,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
6185 Hereford,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4151 Three Mile Drive,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
3941 Cadieux,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
3890 Bishop,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
11637 Lansdowne,Denby,48224,2,11700,63,12347.61905,8973.13915857605
3699 Three Mile,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5044 Marlborough,Chandler Park,48224,13,1123.076923,63,12347.61905,8973.13915857605
5249 Cadieux,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5525 Cadieux,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
4129 Cadieux,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
17142 Detroit,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
5261 Radnor,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
17202 Detroit,Finney,48224,67,11705.97015,63,12347.61905,8973.13915857605
9530 St. Mary's,Brooks,48227,23,5134.782609,3,7533.333333,8973.13915857605
14422 Prevost,Cerveny / Grandmont,48227,2,5500,3,7533.333333,8973.13915857605
15737 Asbury Park,Cerveny / Grandmont,48227,2,5500,3,7533.333333,8973.13915857605
8553 Ward,Mackenzie,48228,5,4460,42,4488.095238,8973.13915857605
8381 Carlin,Mackenzie,48228,5,4460,42,4488.095238,8973.13915857605
6869 Forrer,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
8050 Hartwell,Mackenzie,48228,5,4460,42,4488.095238,8973.13915857605
6912 Longacre,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
9389 Penrod,Cody,48228,5,2800,42,4488.095238,8973.13915857605
6826 Forrer,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
7419 Memorial,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
8237 Carlin,Mackenzie,48228,5,4460,42,4488.095238,8973.13915857605
6544 Memorial,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6730 Forrer,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
10014 Minock,Cody,48228,5,2800,42,4488.095238,8973.13915857605
6870 St Marys,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6322 Abington,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
5645 Brace,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
6206 Artesian,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
6784 Asbury Park,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6735 Winthrop,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6058 Minock,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
6781 Woodmont,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
8615 Strathmoor,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6867 Rutland,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6921 Forrer,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6800 Mansfield,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6700 St Marys,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
9252 Burt,Cody,48228,5,2800,42,4488.095238,8973.13915857605
6920 Mansfield,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
7498 Rutland,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
9042 Burt,Cody,48228,5,2800,42,4488.095238,8973.13915857605
8071 Carlin,Mackenzie,48228,5,4460,42,4488.095238,8973.13915857605
6854 Montrose,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6244 Piedmont,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
6857 Abington,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
9273 Auburn,Cody,48228,5,2800,42,4488.095238,8973.13915857605
6607 Montrose,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6736 Forrer,Brooks,48228,23,5134.782609,42,4488.095238,8973.13915857605
6218 Artesian,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
6013 Faust,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
5770 Stahelin,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
6234 Westwood,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
6008 Auburn,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
6014 Grandville,Rouge,48228,10,4570,42,4488.095238,8973.13915857605
18631 Albion,Mt. Olivet,48234,13,3846.153846,5,5660,8973.13915857605
8055 Bliss,Grant,48234,1,8100,5,5660,8973.13915857605
18401 Teppert,Mt. Olivet,48234,13,3846.153846,5,5660,8973.13915857605
19445 Yonka,Pershing,48234,1,6700,5,5660,8973.13915857605
17616 Beland,Mt. Olivet,48234,13,3846.153846,5,5660,8973.13915857605
18305 Forrer,Greenfield,48235,2,1000,2,1000,8973.13915857605
18900 Biltmore,Greenfield,48235,2,1000,2,1000,8973.13915857605
2957 Leslie,Durfee,48238,39,18038.46154,13,1084.615385,8973.13915857605
3741 Tyler,Winterhalter,48238,4,1000,13,1084.615385,8973.13915857605
2990 Fullerton,Durfee,48238,39,18038.46154,13,1084.615385,8973.13915857605
3817 Tyler,Winterhalter,48238,4,1000,13,1084.615385,8973.13915857605
4332 Waverly,Winterhalter,48238,4,1000,13,1084.615385,8973.13915857605
3219 Glendale,Durfee,48238,39,18038.46154,13,1084.615385,8973.13915857605
4322 Waverly,Winterhalter,48238,4,1000,13,1084.615385,8973.13915857605
15887 Turner,Harmony Village,48238,15,9746.666667,13,1084.615385,8973.13915857605
3289 Glendale,Durfee,48238,39,18038.46154,13,1084.615385,8973.13915857605
15479 Indiana,Harmony Village,48238,15,9746.666667,13,1084.615385,8973.13915857605
15791 Wisconsin,Harmony Village,48238,15,9746.666667,13,1084.615385,8973.13915857605
2999 Leslie,Durfee,48238,39,18038.46154,13,1084.615385,8973.13915857605
15863 Fairfield,McNichols,48238,1,1000,13,1084.615385,8973.13915857605
18813 Chandler Park,Finney,48236,67,11705.97015,8,3975,8973.13915857605
4959 Gateshead,Finney,48236,67,11705.97015,8,3975,8973.13915857605
5515 Gateshead,Finney,48236,67,11705.97015,8,3975,8973.13915857605
5500 Ashley,Finney,48236,67,11705.97015,8,3975,8973.13915857605
21771 Moross,Finney,48236,67,11705.97015,8,3975,8973.13915857605
5267 Ashley,Finney,48236,67,11705.97015,8,3975,8973.13915857605
5241 Ashley,Finney,48236,67,11705.97015,8,3975,8973.13915857605
5008 Ashley,Finney,48236,67,11705.97015,8,3975,8973.13915857605
